Date,Customer,Product,Voucher No.,Customer ID,Product ID,GSTIN/UIN,Quantity,Rate,Value,Cost of Sales,Gross Profit
05-04-2022,Juvenal Kihn,HYB.BRINJAL ANAND-23,LXM/23/2022-23,LXM/CST/15,LXM/PDT/6,23AMKPL9171R135,1,8500,8500,3107.6,5392.4
05-04-2022,Afton Frami,HY.CHILLI ISSHA 1712,LXM/24/2022-23,LXM/CST/16,LXM/PDT/5,23AMKPL6962R170,0.04,35000,1400,483.84,916.16
05-04-2022,Chandler Stiedemann,CHILLI - F1 NISHA ,LXM/25/2022-23,LXM/CST/9,LXM/PDT/3,24ABGPH2188P161,3,34000,102000,55834.8,46165.2
05-04-2022,Stella Becker,CHILLI - F1 NISHA ,LXM/26/2022-23,LXM/CST/17,LXM/PDT/3,23AMKPL9775R136,0.1,34500,3450,1794.69,1655.31
05-04-2022,Stella Becker,RESEARCH- COWPEA RANI-218 ,LXM/27/2022-23,LXM/CST/17,LXM/PDT/8,23AMKPL9775R136,5,260,1300,676.26,623.74
05-04-2022,Marietta Lebsack,CHILLI - F1 NISHA ,LXM/28/2022-23,LXM/CST/18,LXM/PDT/3,24AJXPP7677P195,5,34000,170000,93058,76942
05-04-2022,Marietta Lebsack,CHILLI - F1 NISHA ,LXM/29/2022-23,LXM/CST/18,LXM/PDT/3,24AJXPP7677P195,1,34000,34000,18611.6,15388.4
06-04-2022,Erik Frami,CHILLI - F1 NISHA ,LXM/30/2022-23,LXM/CST/19,LXM/PDT/3,24AAHFV4108Q153,4,34000,136000,73440,62560
06-04-2022,Erik Frami,BRINJAL SORATH - 11 ,LXM/31/2022-23,LXM/CST/19,LXM/PDT/2,24AAHFV4108Q153,0.25,8000,2000,1080,920
06-04-2022,Erik Frami,HYB.BRINJAL ANAND-23,LXM/32/2022-23,LXM/CST/19,LXM/PDT/6,24AAHFV4108Q153,0.25,8500,2125,1147.5,977.5
07-04-2022,Stella Becker,STOP VIRRUS ,LXM/33/2022-23,LXM/CST/17,LXM/PDT/9,23AMKPL9775R136,10,713,7130,4523.985,2606.015
07-04-2022,Stella Becker,STOP VIRRUS ,LXM/34/2022-23,LXM/CST/17,LXM/PDT/9,23AMKPL9775R136,5,735,3675,2331.7875,1343.2125
07-04-2022,Justine Boyle,CHILLI - F1 NISHA ,LXM/35/2022-23,LXM/CST/20,LXM/PDT/3,24AAHFV2275Q186,0.5,34500,17250,9297.75,7952.25
07-04-2022,Jannie Ebert,CHILLI - F1 NISHA ,LXM/36/2022-23,LXM/CST/7,LXM/PDT/3,24AABFU3450A186,1,34000,34000,18601.4,15398.6
07-04-2022,Miss Noemy Kutch,CHILLI - F1 NISHA ,LXM/37/2022-23,LXM/CST/10,LXM/PDT/3,23AHWPB4866F151,5,34000,170000,93007,76993
07-04-2022,Jannie Ebert,CHILLI - F1 NISHA ,LXM/38/2022-23,LXM/CST/7,LXM/PDT/3,24AABFU3450A186,2,34000,68000,37202.8,30797.2
08-04-2022,Jannie Ebert,CHILLI - F1 NISHA ,LXM/39/2022-23,LXM/CST/7,LXM/PDT/3,24AABFU3450A186,2,34000,68000,37202.8,30797.2
08-04-2022,Joannie Renner,CHILLI - F1 NISHA ,LXM/40/2022-23,LXM/CST/21,LXM/PDT/3,24ANXPP8994Q249,0.1,35000,3500,1704.5,1795.5
08-04-2022,Joannie Renner,HYB.BRINJAL ANAND-23,LXM/41/2022-23,LXM/CST/21,LXM/PDT/6,24ANXPP8994Q249,0.1,8500,850,413.95,436.05
08-04-2022,Mr. Heath Gibson,CHILLI - F1 NISHA ,LXM/42/2022-23,LXM/CST/22,LXM/PDT/3,24ANXPP4250Q235,0.5,34000,17000,9027,7973
08-04-2022,Allene Greenfelder V,BRINJAL GULABI ,LXM/43/2022-23,LXM/CST/23,LXM/PDT/10,24AUMPR9188E258,0.05,0,0,0,0
08-04-2022,Brennan Goldner,HYB.CHILLI F1 JHANNVY ,LXM/44/2022-23,LXM/CST/12,LXM/PDT/11,24AZTPP9152J166,0.25,34000,8500,4999.7,3500.3
09-04-2022,Erik Frami,CHILLI- F1- GGIRNNAR ,LXM/45/2022-23,LXM/CST/19,LXM/PDT/1,24AAHFV4108Q153,0.25,35000,8750,7067.375,1682.625
09-04-2022,Elroy Harris,CHILLI - F1 NISHA ,LXM/46/2022-23,LXM/CST/24,LXM/PDT/3,24BBLPC6912E194,0.02,34000,680,330.276,349.724
09-04-2022,Elroy Harris,BOTTLE GOURD-NEEL,LXM/47/2022-23,LXM/CST/24,LXM/PDT/12,24BBLPC6912E194,0.1,3200,320,155.424,164.576
11-04-2022,Jose Lakin,FORMUULAA AC ,LXM/48/2022-23,LXM/CST/25,LXM/PDT/13,24AZTPP9920J162,60,760,45600,8194.32,37405.68
11-04-2022,Alek Prosacco,CHILLI - F1 NISHA ,LXM/49/2022-23,LXM/CST/26,LXM/PDT/3,24ACGPM4876C185,2,34000,68000,37189.2,30810.8
11-04-2022,Jannie Ebert,HOT PEPPER. JUPITER,LXM/50/2022-23,LXM/CST/7,LXM/PDT/14,24AABFU3450A186,0.1,0,0,0,0
12-04-2022,Jannie Ebert,CHILLI - F1 NISHA ,LXM/51/2022-23,LXM/CST/7,LXM/PDT/3,24AABFU3450A186,5,34000,170000,92956,77044
12-04-2022,Lupe Gottlieb I,CHILLI - F1 NISHA ,LXM/52/2022-23,LXM/CST/27,LXM/PDT/3,24ACGPM9308C120,1,35000,35000,18574.5,16425.5
12-04-2022,Florine Beahan,HY. OKRA F1 SHONNALIKA ,LXM/53/2022-23,LXM/CST/1,LXM/PDT/15,24AABFU1871A160,1,1848,1848,292.3536,1555.6464
12-04-2022,Melyna Bergstrom,WATER MELON SSWEETY 177 ,LXM/54/2022-23,LXM/CST/28,LXM/PDT/16,24AIRPP8798M155,0.5,4600,2300,575,1725
13-04-2022,Peggie Mertz,FORMUULAA AC ,LXM/55/2022-23,LXM/CST/29,LXM/PDT/13,24AIRPP6795M153,12,900,10800,1639.44,9160.56
13-04-2022,Jannie Ebert,CHILLI - F1 NISHA ,LXM/56/2022-23,LXM/CST/7,LXM/PDT/3,24AABFU3450A186,2,34000,68000,37182.4,30817.6
13-04-2022,Miss Noemy Kutch,CHILLI - F1 NISHA ,LXM/57/2022-23,LXM/CST/10,LXM/PDT/3,23AHWPB4866F151,3,34000,102000,55773.6,46226.4
13-04-2022,Marietta Lebsack,CHILLI - F1 NISHA ,LXM/58/2022-23,LXM/CST/18,LXM/PDT/3,24AJXPP7677P195,3,34000,102000,55773.6,46226.4
13-04-2022,Erik Frami,CHILLI - F1 NISHA ,LXM/59/2022-23,LXM/CST/19,LXM/PDT/3,24AAHFV4108Q153,2.6,34000,88400,48337.12,40062.88
13-04-2022,Erik Frami,CHILLI - F1 NISHA ,LXM/60/2022-23,LXM/CST/19,LXM/PDT/3,24AAHFV4108Q153,0.4,34000,13600,7436.48,6163.52
15-04-2022,Maddison Moen,FORMUULAA AC ,LXM/61/2022-23,LXM/CST/30,LXM/PDT/13,24ASAPS9127P120,24,900,21600,3278.88,18321.12
15-04-2022,Miss Noemy Kutch,CHILLI - F1 NISHA ,LXM/62/2022-23,LXM/CST/10,LXM/PDT/3,23AHWPB4866F151,2,34000,68000,37155.2,30844.8
15-04-2022,Camylle Hudson III,CHILLI - F1 NISHA ,LXM/63/2022-23,LXM/CST/31,LXM/PDT/3,24ASAPS9215P184,2,34500,69000,37142.7,31857.3
15-04-2022,Mariela Corkery DDS,CLUSTER BEAN - PUNAM 151 ,LXM/64/2022-23,LXM/CST/32,LXM/PDT/17,24ASAPS5023P142,3,360,1080,528.336,551.664
15-04-2022,Mariela Corkery DDS,RESEARCH- COWPEA RANI-218 ,LXM/65/2022-23,LXM/CST/32,LXM/PDT/8,24ASAPS5023P142,2.5,260,650,317.98,332.02
15-04-2022,Erik Frami,CHILLI - F1 NISHA ,LXM/66/2022-23,LXM/CST/19,LXM/PDT/3,24AAHFV4108Q153,2,34000,68000,35802,32198
15-04-2022,Erik Frami,HY.CHILLI ISSHA 1712,LXM/67/2022-23,LXM/CST/19,LXM/PDT/5,24AAHFV4108Q153,0.25,34000,8500,4475.25,4024.75
15-04-2022,Alek Prosacco,CHILLI - F1 NISHA ,LXM/68/2022-23,LXM/CST/26,LXM/PDT/3,24ACGPM4876C185,3,34000,102000,55732.8,46267.2
15-04-2022,Camylle Hudson III,FORMUULAA AC ,LXM/69/2022-23,LXM/CST/31,LXM/PDT/13,24ASAPS9215P184,12,900,10800,1639.44,9160.56
15-04-2022,Jannie Ebert,CHILLI - F1 NISHA ,LXM/70/2022-23,LXM/CST/7,LXM/PDT/3,24AABFU3450A186,3,34000,102000,55732.8,46267.2
15-04-2022,Marietta Lebsack,CHILLI - F1 NISHA ,LXM/71/2022-23,LXM/CST/18,LXM/PDT/3,24AJXPP7677P195,2,34000,68000,37155.2,30844.8
15-04-2022,Elda Bernier,CHILLI - F1 NISHA ,LXM/72/2022-23,LXM/CST/33,LXM/PDT/3,24ACGPM7802C178,0.03,37500,1125,524.25,600.75
16-04-2022,Chanel Tromp,CHILLI - F1 NISHA ,LXM/73/2022-23,LXM/CST/34,LXM/PDT/3,24ACGPM6553C164,3,34000,102000,55732.8,46267.2
16-04-2022,Dr. Annabelle Koch,CHILLI- F1- GGIRNNAR ,LXM/74/2022-23,LXM/CST/3,LXM/PDT/1,24AAJFM5392J189,0.31,34000,10540,8513.158,2026.842
18-04-2022,Florine Beahan,CHILLI - F1 NISHA ,LXM/75/2022-23,LXM/CST/1,LXM/PDT/3,24AABFU1871A160,0.15,34000,5100,3357.84,1742.16
18-04-2022,Florine Beahan,CHILLI- F1- GGIRNNAR ,LXM/76/2022-23,LXM/CST/1,LXM/PDT/1,24AABFU1871A160,0.15,35000,5250,3456.6,1793.4
18-04-2022,Mrs. Eva Aufderhar,CHILLI - F1 NISHA ,LXM/77/2022-23,LXM/CST/35,LXM/PDT/3,24AACFA8081J167,0.5,34000,17000,8415,8585
18-04-2022,Mrs. Eva Aufderhar,HY.CHILLI ISSHA 1712,LXM/78/2022-23,LXM/CST/35,LXM/PDT/5,24AACFA8081J167,0.2,34000,6800,3366,3434
18-04-2022,Dr. Annabelle Koch,CHILLI- F1- GGIRNNAR ,LXM/79/2022-23,LXM/CST/3,LXM/PDT/1,24AAJFM5392J189,0.69,34000,23460,18908.76,4551.24
19-04-2022,Erik Frami,BRINJAL SORATH - 11 ,LXM/80/2022-23,LXM/CST/19,LXM/PDT/2,24AAHFV4108Q153,4,8000,32000,7686.4,24313.6
19-04-2022,Judah Russel,CHILLI - F1 NISHA ,LXM/81/2022-23,LXM/CST/36,LXM/PDT/3,24BAXPP8897N187,0.25,34000,8500,4507.55,3992.45
19-04-2022,Dillan Langworth,BRINJAL SORATH - 11 ,LXM/82/2022-23,LXM/CST/37,LXM/PDT/2,24AAMFP9833C151,1,9500,9500,1921.85,7578.15
20-04-2022,Citlalli Heaney,CHILLI - F1 NISHA ,LXM/83/2022-23,LXM/CST/5,LXM/PDT/3,24AQNPK1266H180,0.1,34000,3400,1803.02,1596.98
20-04-2022,Carson Murray,CHILLI- F1- GGIRNNAR ,LXM/84/2022-23,LXM/CST/38,LXM/PDT/1,24BAXPP1755N128,0.6,35000,21000,16440.9,4559.1
20-04-2022,Jannie Ebert,CHILLI - F1 NISHA ,LXM/85/2022-23,LXM/CST/7,LXM/PDT/3,24AABFU3450A186,5,34000,170000,92888,77112
20-04-2022,Claudia Crist,BRINJAL SORATH - 11 ,LXM/86/2022-23,LXM/CST/2,LXM/PDT/2,23AHWPB1707F138,1.5,9000,13500,3510,9990
20-04-2022,Claudia Crist,BRINJAL SORATH - 11 ,LXM/87/2022-23,LXM/CST/2,LXM/PDT/2,23AHWPB1707F138,0.5,0,0,0,0
21-04-2022,Carol Pacocha,FORMUULAA AC ,LXM/88/2022-23,LXM/CST/39,LXM/PDT/13,24BAXPP6644N138,24,900,21600,3278.88,18321.12
21-04-2022,Evangeline Considine,BITTER GOURD F1 AKHILESSHH ,LXM/89/2022-23,LXM/CST/40,LXM/PDT/7,23APIPC6977R279,0.15,7500,1125,571.275,553.725
21-04-2022,Darron Hagenes,CHILLI - F1 NISHA ,LXM/90/2022-23,LXM/CST/41,LXM/PDT/3,24AWXPP6698K138,0.5,35000,17500,9280.25,8219.75
21-04-2022,Elda Bernier,BRINJAL SORATH - 11 ,LXM/91/2022-23,LXM/CST/33,LXM/PDT/2,24ACGPM7802C178,0.1,8000,800,162.88,637.12
21-04-2022,Mathias Little,BRINJAL SORATH - 11 ,LXM/92/2022-23,LXM/CST/42,LXM/PDT/2,23AMKPL5123R128,1,8000,8000,1702.4,6297.6
21-04-2022,Allene Greenfelder V,STOP VIRRUS ,LXM/93/2022-23,LXM/CST/23,LXM/PDT/9,24AUMPR9188E258,5,735,3675,2026.0275,1648.9725
22-04-2022,Mathias Little,BRINJAL SORATH - 11 ,LXM/94/2022-23,LXM/CST/42,LXM/PDT/2,23AMKPL5123R128,1,8000,8000,1702.4,6297.6
22-04-2022,Florine Beahan,CHILLI - F1 NISHA ,LXM/95/2022-23,LXM/CST/1,LXM/PDT/3,24AABFU1871A160,0.1,34000,3400,1803.02,1596.98
22-04-2022,Citlalli Heaney,BOTTLE GOURD-NEEL,LXM/96/2022-23,LXM/CST/5,LXM/PDT/12,24AQNPK1266H180,0.5,3200,1600,623.52,976.48
22-04-2022,Marietta Lebsack,CHILLI - F1 NISHA ,LXM/97/2022-23,LXM/CST/18,LXM/PDT/3,24AJXPP7677P195,5,34000,170000,92888,77112
22-04-2022,Miss Noemy Kutch,CHILLI - F1 NISHA ,LXM/98/2022-23,LXM/CST/10,LXM/PDT/3,23AHWPB4866F151,3,34000,102000,55732.8,46267.2
22-04-2022,Erik Frami,CHILLI - F1 NISHA ,LXM/99/2022-23,LXM/CST/19,LXM/PDT/3,24AAHFV4108Q153,3,34000,102000,55732.8,46267.2
22-04-2022,Dr. Annabelle Koch,BRINJAL SORATH - 11 ,LXM/100/2022-23,LXM/CST/3,LXM/PDT/2,24AAJFM5392J189,1,8000,8000,1702.4,6297.6
22-04-2022,Citlalli Heaney,BRINJAL SORATH - 11 ,LXM/101/2022-23,LXM/CST/5,LXM/PDT/2,24AQNPK1266H180,1,8000,8000,1702.4,6297.6
23-04-2022,Chandler Stiedemann,CHILLI - F1 NISHA ,LXM/102/2022-23,LXM/CST/9,LXM/PDT/3,24ABGPH2188P161,3,34000,102000,55722.6,46277.4
23-04-2022,Miss Noemy Kutch,CHILLI - F1 NISHA ,LXM/103/2022-23,LXM/CST/10,LXM/PDT/3,23AHWPB4866F151,2,34000,68000,37148.4,30851.6
23-04-2022,Erik Frami,BRINJAL SORATH - 11 ,LXM/104/2022-23,LXM/CST/19,LXM/PDT/2,24AAHFV4108Q153,1,8000,8000,1674.4,6325.6
23-04-2022,Chanel Tromp,CHILLI HY.F1 SUPER NISSHA - ,LXM/105/2022-23,LXM/CST/34,LXM/PDT/18,24ACGPM6553C164,1.2,34000,40800,17927.52,22872.48
23-04-2022,Jade Harªann,BRINJAL SORATH - 11 ,LXM/106/2022-23,LXM/CST/43,LXM/PDT/2,24ASAPS9017P194,1,9500,9500,1673.9,7826.1
25-04-2022,Orion Stiedemann,FORMUULAA AC ,LXM/107/2022-23,LXM/CST/4,LXM/PDT/13,24AJGPP9575E267,12,900,10800,5230.44,5569.56
25-04-2022,Orion Stiedemann,STOP VIRRUS ,LXM/108/2022-23,LXM/CST/4,LXM/PDT/9,24AJGPP9575E267,20,680,13600,6586.48,7013.52
26-04-2022,Chandler Stiedemann,CHILLI - F1 NISHA ,LXM/109/2022-23,LXM/CST/9,LXM/PDT/3,24ABGPH2188P161,3,34000,102000,55722.6,46277.4
26-04-2022,Allene Greenfelder V,RESEARCH- COWPEA RANI-218 ,LXM/110/2022-23,LXM/CST/23,LXM/PDT/8,24AUMPR9188E258,5,260,1300,612.56,687.44
26-04-2022,Erik Frami,BRINJAL SORATH - 11 ,LXM/111/2022-23,LXM/CST/19,LXM/PDT/2,24AAHFV4108Q153,3,8000,24000,5023.2,18976.8
26-04-2022,Chanel Tromp,CHILLI HY.F1 SUPER NISSHA - ,LXM/112/2022-23,LXM/CST/34,LXM/PDT/18,24ACGPM6553C164,2.8,34000,95200,41830.88,53369.12
26-04-2022,Dr. Annabelle Koch,CHILLI - F1 NISHA ,LXM/113/2022-23,LXM/CST/3,LXM/PDT/3,24AAJFM5392J189,0.25,33000,8250,4506.975,3743.025
26-04-2022,Jannie Ebert,CHILLI- F1- GGIRNNAR ,LXM/114/2022-23,LXM/CST/7,LXM/PDT/1,24AABFU3450A186,0.25,35000,8750,7052.5,1697.5
26-04-2022,Nannie Heathcote,CHILLI- F1- GGIRNNAR ,LXM/115/2022-23,LXM/CST/8,LXM/PDT/1,24BAXPP9011N167,0.3,35000,10500,8220.45,2279.55
26-04-2022,Joannie Renner,CHILLI - F1 NISHA ,LXM/116/2022-23,LXM/CST/21,LXM/PDT/3,24ANXPP8994Q249,0.2,34000,6800,3606.04,3193.96
26-04-2022,Celestino Murray,CHILLI - F1 NISHA ,LXM/117/2022-23,LXM/CST/44,LXM/PDT/3,24AMMPP5585K186,0.3,35000,10500,4864.65,5635.35
26-04-2022,Celestino Murray,CHILLI HY.F1 SUPER NISSHA - ,LXM/118/2022-23,LXM/CST/44,LXM/PDT/18,24AMMPP5585K186,0.2,35000,7000,3243.1,3756.9
26-04-2022,Celestino Murray,HY.CHILLI ISSHA 1712,LXM/119/2022-23,LXM/CST/44,LXM/PDT/5,24AMMPP5585K186,0.1,35000,3500,1621.55,1878.45
27-04-2022,Maddison OConner,FORMUULAA AC ,LXM/120/2022-23,LXM/CST/45,LXM/PDT/13,24AMMPP1505K155,2,952,1904,273.224,1630.776
27-04-2022,Royce Barton,CHILLI - F1 NISHA ,LXM/121/2022-23,LXM/CST/46,LXM/PDT/3,24ACVPP8381E161,3,34000,102000,55722.6,46277.4
27-04-2022,Allene Greenfelder V,RESEARCH- COWPEA RANI-218 ,LXM/122/2022-23,LXM/CST/23,LXM/PDT/8,24AUMPR9188E258,15,260,3900,1837.68,2062.32
27-04-2022,Mariela Corkery DDS,HYB.BRINJAL ANAND-23,LXM/123/2022-23,LXM/CST/32,LXM/PDT/6,24ASAPS5023P142,0.1,8500,850,412.76,437.24
27-04-2022,Mariela Corkery DDS,CHILLI - F1 NISHA ,LXM/124/2022-23,LXM/CST/32,LXM/PDT/3,24ASAPS5023P142,0.1,34500,3450,1675.32,1774.68
27-04-2022,Mariela Corkery DDS,HYB.BRINJAL GREEN GOLD ,LXM/125/2022-23,LXM/CST/32,LXM/PDT/19,24ASAPS5023P142,0.05,6500,325,157.82,167.18
27-04-2022,Jannie Ebert,BRINJAL SORATH - 11 ,LXM/126/2022-23,LXM/CST/7,LXM/PDT/2,24AABFU3450A186,1,8000,8000,1623.2,6376.8
27-04-2022,Meredith Hills,HYB.BRINJAL ANAND-23,LXM/127/2022-23,LXM/CST/47,LXM/PDT/6,24ABIPP9239C152,0.1,9000,900,294.84,605.16
27-04-2022,Meredith Hills,HY.CHILLI ISSHA 1712,LXM/128/2022-23,LXM/CST/47,LXM/PDT/5,24ABIPP9239C152,0.05,36000,1800,589.68,1210.32
27-04-2022,Dalton Harvey,CHILLI - F1 NISHA ,LXM/129/2022-23,LXM/CST/48,LXM/PDT/3,24BAXPP4938N124,0.25,37500,9375,3758.4375,5616.5625
27-04-2022,Dalton Harvey,HY.CHILLI ISSHA 1712,LXM/130/2022-23,LXM/CST/48,LXM/PDT/5,24BAXPP4938N124,0.25,36000,9000,3608.1,5391.9
28-04-2022,Tom Goyette V,BRINJAL SORATH - 11 ,LXM/131/2022-23,LXM/CST/49,LXM/PDT/2,24BAXPP5820N166,2,9500,19000,3247.1,15752.9
28-04-2022,Miss Bianka Casper,CHILLI - F1 NISHA ,LXM/132/2022-23,LXM/CST/50,LXM/PDT/3,24AABFU2432A133,0.1,34500,3450,1802.625,1647.375
28-04-2022,Antonette Prohaska,CHILLI- F1- GGIRNNAR ,LXM/133/2022-23,LXM/CST/51,LXM/PDT/1,24DECPS2680C294,0.25,35000,8750,6843.375,1906.625
28-04-2022,Mathias Little,BRINJAL SORATH - 11 ,LXM/134/2022-23,LXM/CST/42,LXM/PDT/2,23AMKPL5123R128,1.2,8500,10200,1948.2,8251.8
28-04-2022,Marietta Lebsack,CHILLI - F1 NISHA ,LXM/135/2022-23,LXM/CST/18,LXM/PDT/3,24AJXPP7677P195,3,34000,102000,55722.6,46277.4
28-04-2022,Miss Noemy Kutch,CHILLI - F1 NISHA ,LXM/136/2022-23,LXM/CST/10,LXM/PDT/3,23AHWPB4866F151,3,34000,102000,55722.6,46277.4
29-04-2022,Miss Enos OKon,CHILLI - F1 NISHA ,LXM/137/2022-23,LXM/CST/14,LXM/PDT/3,23AHQPP7479D141,0.2,33000,6600,3605.58,2994.42
29-04-2022,Clarabelle Vandervort,HYB.BRINJAL ANAND-23,LXM/138/2022-23,LXM/CST/52,LXM/PDT/6,24AASFG6457B175,0.1,8500,850,312.885,537.115
30-04-2022,Mr. Cordie Jewess,BRINJAL SORATH - 11 ,LXM/139/2022-23,LXM/CST/53,LXM/PDT/2,24BAXPP2216N182,2,8000,16000,3033.6,12966.4
30-04-2022,Jannie Ebert,CHILLI - F1 NISHA ,LXM/140/2022-23,LXM/CST/7,LXM/PDT/3,24AABFU3450A186,5,34000,170000,92871,77129
30-04-2022,Celestino Murray,CHILLI - F1 NISHA ,LXM/141/2022-23,LXM/CST/44,LXM/PDT/3,24AMMPP5585K186,0.5,35000,17500,9278.5,8221.5
02-05-2022,Jeramie Predovic,CHILLI - F1 NISHA ,LXM/142/2022-23,LXM/CST/54,LXM/PDT/3,24AAMFP6410C126,3,34500,103500,54078.75,49421.25
02-05-2022,Mr. Gabe Upton,CHILLI - F1 NISHA ,LXM/143/2022-23,LXM/CST/13,LXM/PDT/3,24AAMFP3130C136,2,34500,69000,37128.9,31871.1
02-05-2022,Miss Noemy Kutch,CHILLI - F1 NISHA ,LXM/144/2022-23,LXM/CST/10,LXM/PDT/3,23AHWPB4866F151,3,34000,102000,55722.6,46277.4
02-05-2022,Mariela Corkery DDS,RESEARCH- COWPEA RANI-218 ,LXM/145/2022-23,LXM/CST/32,LXM/PDT/8,24ASAPS5023P142,3,260,780,379.548,400.452
02-05-2022,Mariela Corkery DDS,CLUSTER BEAN - PUNAM 151 ,LXM/146/2022-23,LXM/CST/32,LXM/PDT/17,24ASAPS5023P142,1.5,360,540,262.764,277.236
02-05-2022,Mariela Corkery DDS,CLUSTER BEAN - PUNAM 151 ,LXM/147/2022-23,LXM/CST/32,LXM/PDT/17,24ASAPS5023P142,1,360,360,175.176,184.824
02-05-2022,Celestino Murray,BOTTLE GOURD-NEEL,LXM/148/2022-23,LXM/CST/44,LXM/PDT/12,24AMMPP5585K186,0.5,3200,1600,623.52,976.48
03-05-2022,Chandler Stiedemann,CHILLI - F1 NISHA ,LXM/149/2022-23,LXM/CST/9,LXM/PDT/3,24ABGPH2188P161,3,34000,102000,55712.4,46287.6
03-05-2022,Justine Boyle,CHILLI - F1 NISHA ,LXM/150/2022-23,LXM/CST/20,LXM/PDT/3,24AAHFV2275Q186,2,34500,69000,37122,31878
03-05-2022,Mrs. Stanton Hoeger,CHILLI - F1 NISHA ,LXM/151/2022-23,LXM/CST/55,LXM/PDT/3,24AIRPP2099M138,0.3,34500,10350,5568.3,4781.7
